HolderAddress,Balance,PendingBalanceUpdate
,,
,,
,,
0xf2978b5dabb93964410fb0394c07f144706a2df7,26956557224.7133,No
,,
,,
0x1d0d7bd1ef5dfdde86c8b145cdf948ad8f0e9961,8840138708.32318,No
0x24db8a0a16da2812b55af4d0f3a8ada8a68a330f,6666666666.666,No
0x6e1ad8e91b9b7b677c2a81fa31b6faaa657424fb,1869716244.86235,No
0xa79fbc93c9092f5f18b8b60f9a11c99f697faac9,1335874487.32173,No
0x673394895b3654e81aeb229412c2a8cf7955d7b4,645286059.94194,No
0x714d7baf5067855eba892296b6c6d94a09857010,360896405.885619,No
,,
0x1e8ebaa6d9bf90ca2800f97c95afedd6a64c91e2,329013789.855451,No
0x145a35a5ea96057b782a7dd60894d461ded5c5e1,239034940.859146,No
0x43fc364ac5a51ee6c8a44b6adb80606bbb7607d0,200181002.721621,No
,,
0xdf03d2615dbe6b7d63b0bf94c00aaafae5e63047,126225105,No
0x0e024cdba8377acf2d83e23090e27f5f8f490497,111000000,No
0xc7e318811aac4e3975bf49d6a7c6fbc82d2305a7,93687082.5776018,No
0xec710d71af7455faa701ebea04a8903f33b1b2e9,91129740.6848511,No
0x24c6bbb049784095b398f54b963cc5c9189436e3,55056631.1700381,No
0xfab7a9508ae74521b9a161ec980bf4abb5b18179,30728588.5727936,No
0xc5399cfc64433b67edf0145fc82823e5798168ef,25981668.040961,No
0x9f354930a96705e7c86039e045ebf0ae2cc5ba78,20000000,No
0xf0e43a827e5a66e51e88edcadf58176c42bad071,18648431.391073,No
0xdd1ffb85c7b19238d8a6da29e9a2d1c84f74ac39,16231195.296784,No
0x79a94077ac9ff31a9e728a25bf9a549affea1632,14739787.866687,No
0x03e6c2cd5fa370a411731e7428255fbfb4169fb2,13850129.255495,No
0x36998bb70c088697d49ab82559ef1a2b24efa89d,12222222,No
0x89292e74a756b0fa347a804f0384059de9f21d02,12203745.6597416,No
0x85808af994ff8f0c94b9bce7e9f1b6cd2fed39aa,10413334.3991955,No
0xf7476db5b717ac661c027e684456115ab1e728c3,6554638.59761095,No
0x3f1e8d57dd220f3bce420857df94ea516950dd81,4195574.84538499,No
0x7522feec2e789c8549e316f829e9007a083f47c5,2951342.23188113,No
0x27d4e6fe4f5aca5eccf4a1c7694ace7451060bfc,2441893.3981477,No
0x4731223a7b5ac0c425f1f35d0bdf6d340a93a181,2270432.19228589,No
,,
0x84d05dda80ce05243e2b6bc170e88a5d25b0d5ec,1999998.00000001,No
0x80ae402ac0984d84c232e61bc13f066df590bde0,1579423.00000001,No
,,
0xe937d6981e8bbd91aaca1bbb311df332bf7d44b1,1007928.68092919,No
0x8114e78965b7f7e52e35b2cfbe33973a4ef320cb,1000000.00000001,No
0xf8e773ee69759d7535c1b7a7a20f32009eb32df3,823981.499289116,No
,,
